t,P
0,0
60,1244899.65
120,0
180,1074520.73
240,781841.38
300,1639306.27
360,74132.15
420,1136139.89
480,1293178.08
540,0
600,656244.84
660,2097253.91
720,612439.71
780,191375.07
840,956659.61
900,224899.17
960,943143.61
1020,365234.87
1080,481671.77
1140,960789.43
1200,1862315.46
1260,951874.57
1320,2148383.66
1380,0
1440,50743.19
1500,735993.2
1560,0
1620,0
1680,3000000
1740,3000000
1800,3000000
1860,3000000
1920,2129437.16
1980,2311.62
2040,393328.18
2100,0
2160,831880.88
2220,2865224.74
2280,17769.28
2340,1147448.21
2400,0
2460,1839554.6
2520,0
2580,708715.6
2640,0
2700,1012015.64
2760,511354.17
2820,456011.37
2880,3000000
2940,0
3000,453120.6
3060,3000000
3120,0
3180,1052998.75
3240,0
3300,1530639.58
3360,827529.81
3420,1152124.81
3480,2721138.88
3540,3000000
3600,3000000
3660,724898.46
3720,1366709.28
3780,915468.94
3840,0
3900,203651.68
3960,0
4020,0
4080,95818.45
4140,0
4200,0
4260,78153.22
4320,0
4380,1841883.72
4440,0
4500,2317942.69
4560,125563.39
4620,0
4680,0
4740,1434500.96
4800,1555929.26
4860,660227.28
4920,787400.32
4980,1132905.58
5040,0
5100,0
5160,0
5220,50896.92
5280,1449274.7
5340,3000000
5400,3000000
5460,3000000
5520,843509.25
5580,3000000
5640,1782280.75
5700,0
5760,722614.48
5820,1279451.47
5880,884707.16
5940,1196366.92
6000,387284.44
6060,461176.3
6120,588088.63
6180,0
6240,1922960.62
6300,506331.68
6360,1186480.85
6420,0
6480,0
6540,409032.75
6600,247228.17
6660,1694823.82
6720,1106063.71
6780,1040514.43
6840,0
6900,0
6960,702051.34
7020,152122.03
7080,1790087.99
7140,1841153.82
7200,0
