t,P
0,521195.88
60,538563.54
120,571442.85
180,612409.7
240,651825.56
300,680083.23
360,689924.07
420,678273.66
480,647138.25
540,603313.13
600,556928.61
660,519138.32
720,499470.69
780,503464.91
840,531168.83
900,576893.57
960,630335.69
1020,678856.42
1080,710422.87
1140,716537.3
1200,694454.03
1260,648121.67
1320,587565.77
1380,526783.83
1440,480581.31
1500,461048.59
1560,474498.77
1620,519618.79
1680,587338.84
1740,662546.59
1800,727345.78
1860,765178.7
1920,764891.23
1980,723778.72
2040,648831.54
2100,555770.28
2160,465947.79
2220,401693.06
2280,381068.05
2340,413208.15
2400,495363.29
2460,612448.96
2520,739408.54
2580,846081.96
2640,903699.29
2700,891698.72
2760,803406.61
2820,649260.45
2880,456689.15
2940,266410.64
3000,125637.9
3060,79351.91
3120,161261.53
3180,386222.01
3240,745683.14
3300,1207213.11
3360,1718391.02
3420,2214525.83
3480,2628906.47
3540,2903770.12
3600,3000000
3660,2903770.12
3720,2628906.47
3780,2214525.83
3840,1718391.02
3900,1207213.11
3960,745683.14
4020,386222.01
4080,161261.53
4140,79351.91
4200,125637.9
4260,266410.64
4320,456689.15
4380,649260.45
4440,803406.61
4500,891698.72
4560,903699.29
4620,846081.96
4680,739408.54
4740,612448.96
4800,495363.29
4860,413208.15
4920,381068.05
4980,401693.06
5040,465947.79
5100,555770.28
5160,648831.54
5220,723778.72
5280,764891.23
5340,765178.7
5400,727345.78
5460,662546.59
5520,587338.84
5580,519618.79
5640,474498.77
5700,461048.59
5760,480581.31
5820,526783.83
5880,587565.77
5940,648121.67
6000,694454.03
6060,716537.3
6120,710422.87
6180,678856.42
6240,630335.69
6300,576893.57
6360,531168.83
6420,503464.91
6480,499470.69
6540,519138.32
6600,556928.61
6660,603313.13
6720,647138.25
6780,678273.66
6840,689924.07
6900,680083.23
6960,651825.56
7020,612409.7
7080,571442.85
7140,538563.54
7200,521195.88
