t,P
0,0
30,0
60,0
90,0
120,30000
150,30000
180,30000
210,30000
240,30000
270,30000
300,30000
330,30000
360,50000
390,50000
420,50000
450,50000
480,50000
510,50000
540,50000
570,50000
600,100000
630,100000
660,150000
690,150000
720,600000
750,400000
780,440000
810,400000
840,300000
870,500000
900,400000
930,600000
960,300000
990,450000
1020,450000
1050,450000
1080,450000
1110,450000
1140,450000
1170,450000
1200,450000
1230,400000
1260,400000
1290,400000
1320,450000
1350,450000
1380,450000
1410,600000
1440,600000
1470,600000
1500,650000
1530,850000
1560,850000
1590,900000
1620,900000
1650,900000
1680,1600000
1710,1600000
1740,1900000
1770,1900000
1800,2600000
1830,3000000
1860,2200000
1890,2200000
1920,1800000
1950,1700000
1980,1850000
2010,1750000
2040,1800000
2070,1850000
2100,1900000
2130,1250000
2160,1200000
2190,1200000
2220,1200000
2250,1200000
2280,150000
2310,150000
2340,150000
2370,300000
2400,300000
2430,700000
2460,450000
2490,450000
2520,450000
2550,450000
2580,450000
2610,450000
2640,450000
2670,450000
2700,400000
2730,400000
2760,400000
2790,400000
2820,400000
2850,450000
2880,450000
2910,600000
2940,150000
2970,120000
3000,50000
3030,50000
